temperature,eCO2Value,iaqScore,iaqPercent,humidity,time
20.76,421,25,95,50,2025-02-05 04:24:47
21.13,421,25,95,50,2025-02-05 04:24:48
21.17,421,25,95,50,2025-02-05 04:24:49
21.26,250,0,100,40,2025-02-05 04:26:54
21.26,250,0,100,40,2025-02-05 04:26:54
21.26,250,0,100,40,2025-02-05 04:26:54
21.27,250,0,100,40,2025-02-05 04:26:56
21.27,250,0,100,40,2025-02-05 04:26:57
21.27,250,0,100,40,2025-02-05 04:26:58
21.27,250,0,100,40,2025-02-05 04:26:59
21.27,250,0,100,40,2025-02-05 04:27:00
21.28,250,0,100,40,2025-02-05 04:27:01
21.28,250,0,100,40,2025-02-05 04:27:02
21.28,250,0,100,40,2025-02-05 04:27:03
21.28,250,0,100,40,2025-02-05 04:27:04
