temperature,eCO2Value,iaqScore,iaqPercent,humidity
32.88,265,5,99,39
32.88,265,5,99,39
32.88,429,45,91,27
32.88,429,45,91,26
32.88,455,50,90,25
32.88,455,50,90,25
32.88,455,50,90,25
32.88,513,60,88,21
32.88,513,60,88,21
32.88,513,60,88,21
32.88,513,60,88,21
32.88,513,60,88,21
32.88,513,60,88,21
32.88,513,60,88,21
32.88,545,65,87,20
32.88,545,65,87,20
32.88,545,65,87,20
26.22,429,45,91,27
26.02,429,45,91,27
25.92,429,45,91,27
25.86,429,45,91,27
25.84,429,45,91,27
25.83,429,45,91,27
25.83,429,45,91,26
25.85,429,45,91,26
25.88,429,45,91,26
25.9,429,45,91,26
24.03,358,30,94,31
23.94,358,30,94,31
23.9,380,35,93,30
23.89,380,35,93,30
23.9,380,35,93,30
23.92,380,35,93,30
23.94,380,35,93,30
23.97,380,35,93,30
23.99,380,35,93,29
23.94,380,35,93,30
23.95,380,35,93,30
23.97,380,35,93,30
24.01,380,35,93,30
24.05,380,35,93,30
24.09,380,35,93,29
24.12,380,35,93,29
24.16,380,35,93,29
24.19,380,35,93,29
24.21,380,35,93,29
24.02,380,35,93,30
23.93,380,35,93,30
23.88,380,35,93,30
23.86,380,35,93,30
23.84,380,35,93,30
23.84,380,35,93,30
23.86,380,35,93,30
23.87,380,35,93,29
23.89,380,35,93,29
23.71,358,30,94,31
23.63,358,30,94,31
23.61,358,30,94,31
23.6,358,30,94,31
23.62,380,35,93,30
23.63,380,35,93,30
23.66,380,35,93,30
23.69,380,35,93,30
23.72,380,35,93,30
23.75,380,35,93,30
25.24,380,35,93,29
25.28,380,35,93,29
25.35,380,35,93,29
25.43,380,35,93,29
25.51,380,35,93,29
25.58,380,35,93,29
25.65,380,35,93,29
25.72,380,35,93,30
25.77,380,35,93,30
25.81,380,35,93,30
